Work Order ID,Status,Asset Type,Asset ID,Location ID,Created Date,Modified Date,Submitted Date,Closed Date,Fiscal Year,Work Type,Work Needed,Work Type Other,Work Requested By,Job Description,Problem Found,Action Taken,Follow-Up Needed,Child Work Order,Parent Work Order,Is Follow-Up,TMC Issue ID,Service Request #,Damage Report,Location Name,Latitude,Longitude,Location
WRK18-037645,Submitted,Flashing Beacon,77,LOC17-010940,12/20/2018 05:32:00 PM +0000,12/26/2018 07:14:00 PM +0000,12/20/2018 05:38:00 PM +0000,12/26/2018 07:14:00 PM +0000,2019,Scheduled Work,Other,,Austin Transportation Staff,pull new cable for burnt cabinet,source cable burned up in cabinet and at transformer,"p,ulled new source cable from cabinet to top of riser, terminated cabinet, cleaned cabinet, installed new filters",False,,,False,,,,3604 BLK REDBUD TRL,,,POINT (-97.795915 30.29145)
WRK17-001215,Closed,Signal,940,LOC16-004590,05/07/2017 04:09:00 PM +0000,05/07/2017 09:11:00 PM +0000,,,2017,Trouble Call,Detection Failure,,311 Customer Service Request (CSR),eb thru stuck on red,wb right thru lanes is faulty,put wb on min recall,False,,,,TMC70-001935,17-00118363,, SPICEWOOD SPRINGS RD / MESA DR,,,POINT (-97.757225 30.3715324)
WRK17-001195,Closed,Signal,224,LOC16-001100,05/05/2017 04:04:00 PM +0000,05/05/2017 04:08:00 PM +0000,,,2017,Trouble Call,Visibility Issue,,Austin Transportation Staff,ped turned,nb ped turned on nec,"realigned and tightened nb ped on nec . checked all colors , peds and pbs .",False,,,,TMC70-001950,17-00116619,, 15TH ST / TRINITY ST,,,POINT (-97.7360306 30.2759418)
WRK17-005890,Submitted,School Beacon,7415,LOC17-011845,11/28/2017 09:32:00 AM +0000,12/11/2017 03:43:00 PM +0000,11/28/2017 07:04:00 PM +0000,12/11/2017 03:43:00 PM +0000,2018,Trouble Call,Other,Flashing.,311 Customer Service Request (CSR),been flashing at night for a week,Spoke with caller. Flasher east of school on the sidewalk flashing. No problem found.,Checked all 4 school flashers. Time of day and schedule correct.,False,,,,TMC17-033615,17-00353562,,3006 BLK CROSSCREEK DR (PILLOW),,,POINT (-97.73315048 30.36916415)
WRK17-002000,Closed,Signal,108,LOC16-000535,08/29/2017 07:50:00 PM +0000,09/14/2017 07:03:00 PM +0000,08/30/2017 10:57:00 AM +0000,09/14/2017 07:03:00 PM +0000,2017,Trouble Call,Detection Failure,,MMC,E/B camera needs adjusted,ITS plus camera for e/b had been moved by tree branches and wind,"trimmed tree branches and readjusted camera with assistance from the TMC
",False,,,,,,, LAMAR BLVD / 24TH ST,,,POINT (-97.7527695 30.2885342)
WRK22-136645,Closed,School Beacon Zone,,LOC17-011775,01/11/2022 07:24:00 PM +0000,01/13/2022 07:44:00 PM +0000,01/11/2022 11:42:00 PM +0000,01/13/2022 07:44:00 PM +0000,2022,Trouble Call,Other,"NB and SB lights are malfunctioning and acting strangely, confusing drivers. caller wants them investigated when school lets out",311,"NB and SB lights are malfunctioning and acting strangely, confusing drivers. caller wants them investigated when school lets out.",Went out on 1/10 and completed work. No issues found with school zone. ,Went out and verified that school zone was working properly. ,False,,,False,TMC22-276355,22-00012776,,4001 BLK N QUINLAN PARK RD (STEINER RANCH),,,POINT (-97.88414655 30.37946479)
WRK19-056750,Submitted,Other / No Asset,,,07/08/2019 06:57:00 PM +0000,07/16/2019 02:35:00 PM +0000,07/08/2019 07:01:00 PM +0000,07/16/2019 02:35:00 PM +0000,2019,Trouble Call,Other,PM Intersection # 1039 - 7th/ San Marcos,Austin Transportation Staff,PM Intersection # 1039 - 7th/ San Marcos,Found no infrastructure @ location ,"none taken, found no infrastructure at location ",False,,,False,,,,,,,
WRK21-110525,Closed,Flashing Beacon,,,03/31/2021 03:52:00 PM +0000,08/17/2021 12:33:00 PM +0000,03/31/2021 05:31:00 PM +0000,08/17/2021 12:33:00 PM +0000,2021,Trouble Call,Other,Cabling loose and hanging off hazard flashers,COA Staff,,Found aerial cable was loose from span line on the Nw corner.,Re taped the cable to aerial span line and used friction tape and zip ties every foot on the loose cable.,False,,,False,TMC21-230830,,,,,,
WRK19-039220,Closed,Flashing Beacon,,LOC17-010730,01/15/2019 09:32:00 PM +0000,01/17/2019 12:54:00 PM +0000,01/16/2019 04:55:00 PM +0000,01/17/2019 12:54:00 PM +0000,2019,Trouble Call,Push Button Not Working,,311,pedestrian crossing not working on east side or west side,push button on the N/b working intermediately ,"changed button on northside flashers , verified operation on  all other buttons and flashers ",False,,,False,TMC19-099670,19-00016647,, HUNTLAND DR / TWIN CREST DR,,,POINT (-97.709685 30.330993)
WRK22-140140,Submitted,School Beacon Zone,,LOC17-011610,02/16/2022 09:13:00 PM +0000,02/25/2022 12:23:00 PM +0000,02/24/2022 07:16:00 PM +0000,02/25/2022 12:23:00 PM +0000,2022,Trouble Call,Other,"6900 NORTHEAST DR, AUSTIN, TX 78723
Southbound flasher not working at 2:55 pm.",311,,southbound flasher not working.,checked wbcu. Checked output from wbcu. Power found good. Checked led. Found neutral wire broken at pole where drop for beacon is located. Reattached neutral wire. Led now operates normally. ,False,,,False,TMC22-281180,22-00057038,,2300 BLK LOYOLA LN (ANDREWS),,,POINT (-97.67979152 30.31771564)
WRK20-076945,Closed,Other / No Asset,,,02/17/2020 12:31:00 AM +0000,02/19/2020 03:33:00 PM +0000,02/17/2020 12:45:00 AM +0000,02/19/2020 03:33:00 PM +0000,2020,Trouble Call,Digtess,,311 Customer Service Request (CSR),Dig tess.,None.,Location visited. No nearby signals or signal conduits.,False,,,False,TMC20-176795,20-00058532,,,,,
WRK20-074825,Closed,Other / No Asset,,,01/20/2020 07:00:00 PM +0000,02/04/2020 06:52:00 PM +0000,01/20/2020 08:58:00 PM +0000,02/04/2020 06:52:00 PM +0000,2020,Trouble Call,Digtess,,311 Customer Service Request (CSR),Digtess,Construction workzone is visable  but no obstructions with signal assets. Nearest intersection  is st Elmo at congress,Construction workzone is visable  but doesn't obstructions with signal assets. Nearest intersection  is st Elmo at congress,False,,,False,TMC20-171620,20-00023475,,,,,
WRK21-129005,Submitted,School Beacon Zone,,LOC17-012070,09/30/2021 08:14:00 PM +0000,01/03/2022 08:47:00 PM +0000,09/30/2021 08:14:00 PM +0000,01/03/2022 08:47:00 PM +0000,2021,Trouble Call,Timing Issue,,311,School Zone flashers not working when you are entering neighborhood to Baldwin Elementary School,,Close Issue (Resolved),False,,,False,TMC21-261255,21-00446455,,7722 BLK ESPINA DR (BALDWIN),,,POINT (-97.92304165 30.18510736)
WRK18-010160,Closed,School Beacon,,LOC17-012050,01/24/2018 10:00:00 PM +0000,01/29/2018 04:54:00 PM +0000,01/24/2018 11:26:00 PM +0000,01/29/2018 04:54:00 PM +0000,2018,Trouble Call,LED Out,,311,,None,Checked tod program and the operation of both flashers on Monterey oaks.,False,,,False,TMC18-040890,18-00022585,,4801 BLK MONTEREY OAKS BLVD (SMALL),,,POINT (-97.84187107 30.23364494)
