LINE,x,y
Canada Line,491390.18268619623,5454273.607691981
Canada Line,491392.641188625,5454356.330185646
Canada Line,491392.8437945269,5454369.320110576
Canada Line,491393.46231815475,5454382.296883187
Canada Line,491394.49612492824,5454395.247189838
Canada Line,491395.94415420346,5454408.15774405
Canada Line,491397.8049203647,5454421.015300122
Canada Line,491400.07651433855,5454433.80666673
Canada Line,491401.68757532793,5454440.237698713
Canada Line,491403.5162204185,5454446.610276451
Canada Line,491405.5603378065,5454452.917040599
Canada Line,491407.8175668487,5454459.150707815
Canada Line,491410.2853007961,5454465.304079171
Canada Line,491412.9606897961,5454471.3700484745
Canada Line,491415.84064418485,5454477.341610467
Canada Line,491418.9218380592,5454483.21186891
Canada Line,491422.20071311586,5454488.974044563
Canada Line,491425.6734827598,5454494.621483001
Canada Line,491429.3361364761,5454500.1476623025
Canada Line,491433.1844444645,5454505.546200577
Canada Line,491437.21396252187,5454510.810863353
Canada Line,491441.4200371755,5454515.935570749
Canada Line,491445.79781105893,5454520.914404522
Canada Line,491450.34222851414,5454525.741614886
Canada Line,491462.1929497861,5454536.9576105755
Canada Line,491474.4127949735,5454547.770266937
Canada Line,491486.9880435001,5454558.167443402
Canada Line,491499.90457574493,5454568.13746591
Canada Line,491516.42890567525,5454581.140085126
Canada Line,491532.4828508259,5454594.719202597
Canada Line,491548.04630890186,5454608.857814938
Canada Line,491552.7827527973,5454613.842118143
Canada Line,491557.346862997,5454618.984693116
Canada Line,491561.73335407715,5454624.279584544
Canada Line,491565.9371463072,5454629.720660736
Canada Line,491569.95337152836,5454635.30162071
Canada Line,491573.77737879165,5454641.016001489
Canada Line,491577.40473974583,5454646.857185595
Canada Line,491580.83125376207,5454652.8184087025
Canada Line,491584.05295279983,5454658.892767481
Canada Line,491587.0661060034,5454665.073227578
Canada Line,491589.86722402315,5454671.352631776
Canada Line,491592.45306305087,5454677.723708278
Canada Line,491594.82062858343,5454684.179079116
Canada Line,491596.96717888565,5454690.711268722
Canada Line,491598.89022816694,5454697.312712559
Canada Line,491600.5875494588,5454703.975765887
Canada Line,491602.05717719655,5454710.69271263
Canada Line,491603.2974094915,5454717.455774298
Canada Line,491604.30681010697,5454724.257118992
Canada Line,491605.58528318815,5454737.514483497
