CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
Bruhanski Acting Studio,http://bruhanski.com/,Educational,Educational Institution,"164 E 11th Av, Vancouver, BC, V5T 2C2",Mount Pleasant,Privately Owned,,,Yes
Burrard Marina Field House,http://vancouver.ca/parks-recreation-culture/burrard-marina-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"1655 Whyte Av, Vancouver, BC, V6J 1A9",Kitsilano,Vancouver Park Board/COV,,,Yes
Burrardview Park Fieldhouse,https://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=67,Studio/Rehearsal ,Artist Studio,"650 North Penticton st, Vancouver, BC, V6G 1Z4",Hastings-Sunrise,Vancouver Park Board/COV,,,Yes
Cafe Deux Soleils,www.cafedeuxsoleils.com/?,Cafe/Restaurant/Bar,Cafe/Restaurant,"2096 Commercial Dr, Vancouver, BC, V5N 4B2",Grandview-Woodland,Privately Owned,,,Yes
Cambrian Hall,http://www.welshsociety.com/Lab5/,Community Space,Community Centre/Hall,"215 E 17th Av, Vancouver, BC, V5V 1A6",Riley Park,Privately Owned,1584,129,Yes
Canadian Memorial United Church and Centre for Peace,http://canadianmemorial.org/,Community Space,Place of Worship,"1825 W 16th Av, Vancouver, BC, V6J 2M3",Kitsilano,Other,1170,100,Yes
Canadian Music Centre (BC Region),http://www.musiccentre.ca/regions/british-columbia?field_event_region_value_many_to_one=3,Museum/Gallery,Library/Archives,"837 Davie St, Vancouver, BC, V6Z 1B7",Downtown,Privately Owned,2680,,Yes
Carnegie Centre,http://vancouver.ca/parks-recreation-culture/carnegie-community-centre.aspx,Theatre/Performance,Performance Space,"401 Main St, Vancouver, BC, V6A 2T7",Downtown,City of Vancouver,40000,,Yes
Carousel Theatre for Young People,www.carouseltheatre.ca,Studio/Rehearsal ,Rehearsal Studio,"1411 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,1330,,Yes
Catriona Jeffries Gallery,www.catrionajeffries.com?,Museum/Gallery,Museum/Gallery,"274 E 1st Av, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,6500,,Yes
CBC Outdoor Stage,http://www.cbc.ca,Community Space,Plaza/Park/Band Shell,"700 Hamilton, Vancouver, BC, V6B 2R5",Downtown,Government,2623,,Yes
CBC Studio 700,http://www.cbc.ca/bc/communityspaces/studio700.html#igImgId_11630,Theatre/Performance,Performance Space,"700 Hamilton, Vancouver, BC, V6B 2R5",Downtown,Government,2784,140,Yes
Centre A - Centre For Contemporary Asian Art,http://centrea.org,Museum/Gallery,Museum/Gallery,"229 E Georgia St, Vancouver, BC, V6A 1Z6",Strathcona,Privately Owned,1500,,Yes
Centre for Digital Media,www.gnwc.ca,Educational,Educational Institution,"555 Great Northern Way, Vancouver, BC, V5T 1E2",Strathcona,Government,51000,,Yes
Ceperley Meadow,,Community Space,Plaza/Park/Band Shell,"Stanley Park, Vancouver, BC",Stanley Park,City of Vancouver,5558,,Yes
Chali-Rosso Gallery,www.chalirosso.com,Museum/Gallery,Museum/Gallery,"2250 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,,,Yes
Champlain Heights Community Centre,https://vancouver.ca/parks-recreation-culture/champlain-heights-community-centre.aspx,Community Space,Community Centre/Hall,"3350 Maquinna Dr, Vancouver, BC, V5S 4C6",Killarney,Vancouver Park Board/COV,,,Yes
Chan Centre for The Performing Art - Concert Hall,http://www.chancentre.com,Theatre/Performance,Theatre,"6265 Crescent Rd, Vancouver, BC, V6T 1Z1",UBC,Government,,1185,Yes
Chan Centre For The Performing Art - Telus Studio Theatre,http://www.chancentre.com,Theatre/Performance,Theatre,"6265 Crescent Rd, Vancouver, BC, V6T 1Z1",UBC,Government,,275,Yes
Chapel Arts,www.chapelarts.com?,Theatre/Performance,Performance Space,"304 Dunlevy St, Vancouver, BC, V6A 3Y4",Strathcona,Privately Owned,2882,,Yes
Charles H. Scott Gallery,www.chscott.ecuad.ca?,Museum/Gallery,Museum/Gallery,"1399 Johnston St, Vancouver, BC, V6H 2R9",Fairview,Government,,,Yes
China Cloud,https://www.facebook.com/liveatthechinacloud/,Cafe/Restaurant/Bar,Cafe/Restaurant,"524 Main St, Vancouver, BC, V6A 2T9",Strathcona,Privately Owned,,,Yes
Chinese Cultural Centre,www.cccvan.com?,Community Space,Community Centre/Hall,"50 E Pender St, Vancouver, BC, V6A 3V6",Downtown,City of Vancouver,77000,,Yes
Chinese Cultural Centre Museum and Archives,,Museum/Gallery,Museum/Gallery,"555 Columbia St, Vancouver, BC, V6A 4H5",Downtown,City of Vancouver,,,Yes
Christ Church Cathedral,http://www.cathedral.vancouver.bc.ca/,Community Space,Place of Worship,"690 Burrard St, Vancouver, BC, V6C 2L1",Downtown,Other,18000,,Yes
Christianne's Lyceum,http://www.christiannehayward.com/,Educational,Educational Institution,"3696 W 8th Av, Vancouver, BC, V6R 1Z1",Kitsilano,Privately Owned,,,Yes
Cineplex Odeon International Village Cinemas,http://www.cineplex.com/Theatre/Cineplex-Odeon-International-Village-Cinemas,Theatre/Performance,Cinema,"88 W Pender St, Vancouver, BC, V6B 6N9 ",Downtown,Privately Owned,,,Yes
Cineworks,http://www.cineworks.ca,Studio/Rehearsal ,Film/Recording Studio,"1131 Howe St, Vancouver, BC, V6Z 2L7",Downtown,City of Vancouver,3000,,Yes
Circle Craft Co-Operative Shop & Gallery,www.circlecraft.net/,Museum/Gallery,Museum/Gallery,"1666 Johnston St, Vancouver, BC, V6H 3S2",Fairview,Government,,,Yes
City of Vancouver Archives,www.vancouver.cayour-government/city-of-vancouver-archives.aspx?,Museum/Gallery,Library/Archives,"1150 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,,,Yes
City of Vancouver Artist Studio, https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx,Studio/Rehearsal ,Artist Studio,"2050 Scotia St, Vancouver, BC, V5T 4T1",Mount Pleasant,City of Vancouver,2600,,Yes
City of Vancouver Artist Studio, https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx,Studio/Rehearsal ,Artist Studio with Residence,"485 W 8th Av, Vancouver, BC, V5Y 3Z5",Mount Pleasant,Privately Owned,1100,,Yes
City of Vancouver Artist Studio, https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx,Studio/Rehearsal ,Artist Studio with Residence,"272 E 4th Av, Vancouver, BC, V5T 4S2",Mount Pleasant,City of Vancouver,1500,,Yes
City of Vancouver Artist Studio, https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx,Studio/Rehearsal ,Artist Studio with Residence,"428 W 8th Av, Vancouver, BC, V5Y 1N9",Mount Pleasant,Privately Owned,580,,Yes
City of Vancouver Artist Studio, https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx,Studio/Rehearsal ,Artist Studio with Residence,"1202 E Pender St, Vancouver, BC, V6A 1W8",Strathcona,City of Vancouver,1446,,Yes
Clayzone Ceramics Gallery,www.clayzoneceramics.com,Educational,Educational Institution,"661 E 15th Av, Vancouver, BC, ",Mount Pleasant,Privately Owned,750,,Yes
Coal Harbour Community Centre,http://vancouver.ca/parks-recreation-culture/coal-harbour-community-centre.aspx,Community Space,Community Centre/Hall,"480 Broughton St, Vancouver, BC, V6G 3H4",Downtown,Vancouver Park Board/COV,,,Yes
Coastal Peoples Fine Arts Gallery Gastown,http://www.coastalpeoples.com,Museum/Gallery,Museum/Gallery,"312 Water St, Vancouver, BC, V6B 1B6",Downtown,Privately Owned,,,Yes
Coastal Peoples Fine Arts Gallery Yaletown,http://www.coastalpeoples.com,Museum/Gallery,Museum/Gallery,"1024 Mainland St, Vancouver, BC, V6B 2T4",Downtown,Privately Owned,,,Yes
Colbourne House/ Marpole Museum,http://www.marpolehistorical.ca?,Museum/Gallery,Museum/Gallery,"8743 Sw Marine Dr, Vancouver, BC, V6P 6A5",Marpole,City of Vancouver,2000,,Yes
Collingwood Neighborhood House,http://www.cnh.bc.ca,Community Space,Community Centre/Hall,"5288 Joyce St, Vancouver, BC, V5R 6C9",Renfrew-Collingwood,City of Vancouver,1500,,Yes
Commodore Ballroom,http://www.commodoreballroom.ca?,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"868 Granville St, Vancouver, BC, V6Z 1K3",Downtown,Privately Owned,4205,,Yes
Contemporary Art Gallery,www.contemporaryartgallery.ca?,Museum/Gallery,Museum/Gallery,"555 Nelson St, Vancouver, BC, V6B 6R5",Downtown,Privately Owned,5000,,Yes
Core Live/Work Studios,www.chf.bc.ca ,Studio/Rehearsal ,Artist Studio with Residence,"275 Alexander St, Vancouver, BC, V6A 1C2",Strathcona,City of Vancouver,4500,,Yes
Cottage Bistro,http://cottage-bistro.com/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"4470 Main St, Vancouver, BC, V5V 3R3",Riley Park,Privately Owned,,80,Yes
Craft Council of British Columbia Gallery,www.craftcouncilbc.ca,Museum/Gallery,Museum/Gallery,"1386 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,1200,,Yes
Creekside Community Centre,http://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,Community Space,Community Centre/Hall,"1 Athletes Way, Vancouver, BC, V5Y 0B1",Mount Pleasant,Vancouver Park Board/COV,,,Yes
Creekside Park,,Community Space,Plaza/Park/Band Shell,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,City of Vancouver,177518,,Yes
Croatian Cultural Centre,www.croatiancentre.com,Community Space,Community Centre/Hall,"3250 Commercial Dr, Vancouver, BC, V5N 4E4",Kensington-Cedar Cottage,Non-Profit,16543,,Yes
Crystal Ballroom,www.crystalballrom.ca,Educational,Educational Institution,"768 SW Marine Dr, Vancouver, BC, V6P 5Y7",Marpole,Privately Owned,5000,,Yes
David Lam Multi-Purpose Hall,,Community Space,Community Centre/Hall,"50 E Pender St, Vancouver, BC, V6A 3V6",Downtown,City of Vancouver,,,Yes
David Lam Park,,Community Space,Plaza/Park/Band Shell,"1300 Pacific Blvd, Vancouver, BC, V6Z 2V1",Downtown,City of Vancouver,467154,,Yes
Dear Human Studio and Workshop,http://www.dearhuman.ca/about/,Studio/Rehearsal ,Artist Studio,"141 W 7th Av, Vancouver, BC, V5Y 1L8",Mount Pleasant,Privately Owned,800,,Yes
DeSerres,http://www.deserres.ca/,Other,Retail,"1431 W Broadway St, Vancouver, BC, V6H 1H6",Hastings-Sunrise,Privately Owned,,,Yes
DeSerres,http://www.deserres.ca/,Other,Retail,"2811 Grandview Hwy, Vancouver, BC, V5M 2E1",Fairview,Privately Owned,,,Yes
Djavad Mowafaghian Cinema,http://www.sfu.ca/mecs/facilities/goldcorp-centre-for-the-arts/meeting-rooms/djavadmowafaghian.html,Theatre/Performance,Cinema,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,350,Yes
Doctor Vigari Gallery,www.doctorvigarigallery.com,Museum/Gallery,Museum/Gallery,"1816 Commercial Dr, Vancouver, BC, V5N 4A3",Grandview-Woodland,Privately Owned,,,Yes
Dorothy Somerset Studio Theatre,,Theatre/Performance,Theatre,"6361 University Blvd, Vancouver, BC, V6T 1Z2",UBC,Government,,120,Yes
Douglas Park Community Centre,https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,Community Space,Community Centre/Hall,"801 W 22nd Av, Vancouver, BC, V5Z 1Z8",South Cambie,Vancouver Park Board/COV,,,Yes
Douglas Reynolds Gallery,www.douglasreynoldsgallery.com,Museum/Gallery,Museum/Gallery,"2335 Granville St, Vancouver, BC, V6H 3G4",Fairview,Privately Owned,,,Yes
Douglas Udell Gallery,www.douglasudellgallery.com?,Museum/Gallery,Museum/Gallery,"1558 W 6th Av, Vancouver, BC, V6J 1R2",Fairview,Privately Owned,,,Yes
Dr. Sun Yat-Sen Classical Chinese Garden ,www.vancouverchinesegarden.com?,Museum/Gallery,Garden/Aquarium/Science Centre,"578 Carrall St, Vancouver, BC, V6B 5K2",Downtown,City of Vancouver,5500,,Yes
Dunbar Community Centre,http://dunbarcentre.org/dunbar/,Community Space,Community Centre/Hall,"4747 Dunbar St, Vancouver, BC, V6S 2H2",Dunbar-Southlands,Vancouver Park Board/COV,,,Yes
Dundarave Print Workshop & Gallery,www.dundaraveprintworkshop.com,Museum/Gallery,Museum/Gallery,"1640 Johnston St, Vancouver, BC, V6H 3S2",Fairview,Privately Owned,230,,Yes
Dynamo Arts Association,www.dynamoarts.tumblr.com?,Museum/Gallery,Museum/Gallery,"30 E 6th Ave, Vancouver, BC, V5T 1J4",Mount Pleasant,Privately Owned,6000,,Yes
Eagle Spirit Gallery,www.eaglespiritgallery.com,Museum/Gallery,Museum/Gallery,"1803 Maritime Mews, Vancouver, BC, V6H 3W7",Fairview,Privately Owned,,,Yes
East Van Studios,http://eastvanstudios.wordpress.com/,Studio/Rehearsal ,Film/Recording Studio,"870 E Cordova St, Vancouver, BC, V6A 1M4",Strathcona,Privately Owned,1500,,Yes
eatArt,http://eatart.org/,Studio/Rehearsal ,Artist Studio,"882 Cordova St, Vancouver, BC, V6A 1M4",Strathcona,Privately Owned,3000,,Yes
EDAM Performing Arts Society,www.edamdance.org?,Studio/Rehearsal ,Rehearsal Studio,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,2240,,Yes
