longitude,latitude,elevation,StationID,Power,Quality,num_measures,Code,recorded_tstamp
-123.130815,49.28292,48,6401,-92.6500,-10.4388,1,ABD063876401,06-DEC-2011 13:39:46
-123.159483,49.269122,39,32337,-63.5970,-4.6913,1,ABC3232332337,05-DEC-2011 18:11:26
-123.140799,49.272795,11,35545,-67.1645,-13.9033,1,ABD3553135545,07-DEC-2011 14:23:20
-123.088942,49.264327,36,40488,-76.0229,-21.0719,1,ABC4047440488,05-DEC-2011 21:10:23
-123.111785,49.265707,12,35413,-95.1409,-19.5701,1,ABD3539935413,01-DEC-2011 21:22:14
-123.136148,49.281999,38,1479,-72.1868,-13.0086,1,ABC014651479,07-DEC-2011 01:27:11
-123.100777,49.284027,7,37065,-58.3681,-5.0876,2,ABD3705137065,01-DEC-2011 17:22:43
-123.132026,49.290662,16,35602,-97.7006,-21.3510,1,ABD3558835602,05-DEC-2011 18:14:11
-123.093322,49.283801,18,36082,-84.2216,-16.2804,1,ABD3606836082,03-DEC-2011 15:08:53
-123.120069,49.298637,6,36337,-75.9966,-13.4158,2,ABD3632336337,02-DEC-2011 22:21:36
-123.090403,49.281165,19,31571,-61.6977,-18.5764,2,ABC3155731571,01-DEC-2011 20:14:06
-123.123414,49.280291,32,1640,-66.7889,-14.9585,2,ABC016261640,04-DEC-2011 13:47:49
-123.097685,49.285151,5,30695,-57.2679,-22.5555,1,ABC3068130695,01-DEC-2011 23:21:44
-123.085634,49.256363,49,460,-82.0128,-21.6783,1,ABC00446460,04-DEC-2011 00:41:22
-123.109561,49.286247,8,32336,-73.4356,-5.3184,4,ABC32332336,05-DEC-2011 18:14:12
-123.183092,49.268581,20,1719,-62.7990,-18.8995,1,ABC017051719,04-DEC-2011 14:10:15
-123.139531,49.288763,16,36461,-97.1912,-16.1646,1,ABD3644736461,01-DEC-2011 21:54:51
-123.116281,49.28371,31,35402,-81.0675,-16.7518,1,ABD3538835402,03-DEC-2011 01:16:46
-123.15007,49.276,9,35997,-80.1972,-10.6702,2,ABD3598335997,04-DEC-2011 01:03:36
-123.086698,49.258792,56,5926,-82.9226,-19.6700,1,ABD05915926,04-DEC-2011 01:04:53
-123.089666,49.285135,8,30270,-50.9717,-21.4358,1,ABC3025630270,06-DEC-2011 13:47:50
-123.166446,49.265963,20,1530,-62.3237,-14.8087,3,ABC015161530,06-DEC-2011 16:36:52
-123.117613,49.260268,47,32318,-75.2768,-11.4739,1,ABC3230432318,03-DEC-2011 01:07:28
-123.115536,49.288159,6,35276,-74.3698,-7.8436,3,ABD352635276,01-DEC-2011 21:30:41
-123.126606,49.26625,9,32346,-77.8965,-17.5404,1,ABC323332346,04-DEC-2011 00:41:36
-123.100051,49.272288,6,30660,-74.3146,-9.6657,1,ABC3064630660,04-DEC-2011 01:04:37
-123.176104,49.258863,25,31180,-55.9520,-22.3855,1,ABC3116631180,05-DEC-2011 15:45:06
-123.120326,49.259538,49,6485,-61.7376,-19.5068,1,ABD064716485,06-DEC-2011 16:22:28
-123.117676,49.267124,9,10125,-82.8808,-21.9744,1,ABC1011110125,04-DEC-2011 00:42:19
-123.126236,49.281029,41,35695,-69.8899,-15.9940,2,ABD3568135695,01-DEC-2011 23:31:33
-123.13373,49.263424,48,31217,-64.3420,-11.1224,1,ABC3120331217,05-DEC-2011 15:44:44
