longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.1132,49.273123,5,35076,-66.907,-12.3501,3,12/5/2011 13:17,ABD,350328396,"{ ""StationID"" : ""35076"", ""Power"" : ""-66.9070"", ""Quality"" : ""-12.3501"" }"
-123.127793,49.257023,57,36076,-75.6761,-19.3796,1,12/4/2011 16:35,ABD,49297106,"{ ""StationID"" : ""36076"", ""Power"" : ""-75.6761"", ""Quality"" : ""-19.3796"" }"
-123.07758,49.259622,31,43126,-86.3455,-19.6564,1,12/7/2011 14:23,ABD,382764422,"{ ""StationID"" : ""43126"", ""Power"" : ""-86.3455"", ""Quality"" : ""-19.6564"" }"
-123.123922,49.281224,33,31340,-41.1956,-9.9987,2,12/2/2011 22:22,ABC,18321292,"{ ""StationID"" : ""31340"", ""Power"" : ""-41.1956"", ""Quality"" : ""-9.9987"" }"
-123.085404,49.26059,43,31719,-72.5326,-22.9324,1,12/1/2011 21:12,ABC,370509739,"{ ""StationID"" : ""31719"", ""Power"" : ""-72.5326"", ""Quality"" : ""-22.9324"" }"
-123.08099,49.262409,24,1716,-59.9023,-18.3146,33,12/6/2011 16:58,TVW,222846618,"{ ""StationID"" : ""1485"", ""Power"" : ""-59.9023"", ""Quality"" : ""-18.3146"" }"
-123.143524,49.260088,45,820,-67.1348,-13.5716,2,12/7/2011 18:54,ABC,240241025,"{ ""StationID"" : ""820"", ""Power"" : ""-67.1348"", ""Quality"" : ""-13.5716"" }"
-123.145253,49.306079,35,30598,-75.3201,-6.8213,1,12/7/2011 15:59,ABC,155882483,"{ ""StationID"" : ""30598"", ""Power"" : ""-75.3201"", ""Quality"" : ""-6.8213"" }"
-123.096946,49.258357,53,30696,-48.0401,-20.9772,2,12/6/2011 13:59,ABC,77114169,"{ ""StationID"" : ""30696"", ""Power"" : ""-48.0401"", ""Quality"" : ""-20.9772"" }"
-123.078735,49.267347,13,6482,-67.7814,-11.0264,1,12/3/2011 13:26,ABD,357754618,"{ ""StationID"" : ""6482"", ""Power"" : ""-67.7814"", ""Quality"" : ""-11.0264"" }"
-123.105038,49.284943,8,10712,-79.2667,-12.4187,1,12/5/2011 22:20,ABC,211520894,"{ ""StationID"" : ""10712"", ""Power"" : ""-79.2667"", ""Quality"" : ""-12.4187"" }"
-123.128595,49.286994,42,32279,-67.8766,-20.7278,3,12/7/2011 14:37,ABC,99093528,"{ ""StationID"" : ""32279"", ""Power"" : ""-67.8766"", ""Quality"" : ""-20.7278"" }"
-123.170576,49.266673,19,31235,-48.7914,-19.3474,3,12/3/2011 14:32,ABC,127149281,"{ ""StationID"" : ""31235"", ""Power"" : ""-48.7914"", ""Quality"" : ""-19.3474"" }"
-123.089112,49.282091,16,31656,-66.7604,-16.849,3,12/7/2011 18:49,ABC,231951231,"{ ""StationID"" : ""31656"", ""Power"" : ""-66.7604"", ""Quality"" : ""-16.8490"" }"
